"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45723","TC_PE_036_Verify_Progress_Percentage_Increases","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","48447","TC_28_Verify_RBS_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","41957","TC_PE_006_Verify_Pallor_Options_Available","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","38607","TC_44_Verify_BMI_Is_Automatically_Generated","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","36770","TC_13_Verify_WHR_Calculation","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","43262","TC_08_Verify_Respiratory_Rate","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42898","TC_16_Verify_Vitals_Next_Button","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","43155","TC_09_Verify_FBS","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","39995","TC_PE_046_Verify_Jaundice_Question_Title_Displayed","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","74766","TC_AD_021_Verify_Full_Physical_Exam_Reaches_Summary","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","38260","TC_25_Verify_Blood_Group_Selection_Persists","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","47750","TC_54_Verify_Error_Message_Clears_After_Entering_Value","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","47127","TC_PE_034_Verify_Nail_Abnormality_Requires_Selection","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","72557","MH_010_Verify_Summary_Reflects_No_Answers","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","50537","TC_PE_021_Verify_Skip_Button_Before_Selection","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","58889","MH_005_Verify_Personal_History_Yes_Item_Accepted","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","48291","TC_31_Verify_OGTT_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","75723","TC_PE_022_Verify_No_Oedema_Advances_To_Summary","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","48347","TC_23_Verify_Height_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","38054","TC_07_Verify_BMI_Underweight_Category","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","54390","TC_AD_013_Verify_Additional_Information_Skip_Completes_Assessment","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","43597","TC_53_Verify_All_Required_Fields_Can_Be_Completed","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","39336","TC_17_Verify_Decimal_BMI_Calculation","chromium","2026-09-09","failed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","38400","TC_05_Verify_BMI_Calculation","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","43484","TC_73_Verify_Weight_Decimal_Precision","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","40508","TC_18_Verify_Patient_Description_Field","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","61092","MH_004_Verify_Personal_History_All_No_Advances","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","49274","TC_PE_042_Verify_Refresh_Preserves_Answers","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","49118","TC_27_Verify_BMI_After_Clearing_Height","chromium","2026-09-09","failed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","101537","TC_AD_028_Verify_Medical_History_Confirm_Navigates_To_Visit_Summary","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","37787","TC_36_Verify_BMI_After_Multiple_Updates","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","8237","API - Valid Login","chromium","2026-09-09","passed","2026-09-09","Login Module","Loginpage.spec.js","",""
"","17275","TC_04_Verify_Gender_Selection","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","43835","TC_AD_007_Verify_Associated_Symptoms_All_Items_Displayed","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","17326","TC_13_Verify_Contact_Type_Selection","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","36645","TC_34_Verify_FBS_Can_Remain_Empty","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","72382","TC_AD_019_Verify_Abdominal_Lumps_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","47125","TC_PE_008_Verify_Pinch_Skin_Auto_Advances","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","16981","TC_06_Verify_Emergency_Contact_Fields","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","43383","TC_13_Verify_OGTT","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","36933","TC_15_Verify_WHR_Recalculates_When_Hip_Changes","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37870","TC_01_Verify_Visit_Reason_Screen","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","39247","TC_AD_003_Verify_Onset_Speed_Question_Auto_Advances","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","115844","MH_017_Verify_Confirm_Navigates_To_Visit_Summary","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","43980","TC_35_Verify_BMI_Updates_When_Height_Changes","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42747","TC_65_Verify_BP_Systolic_Can_Be_Entered_And_Cleared","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","74682","TC_AD_022_Verify_Summary_General_Exams_Section","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","42884","TC_05_Verify_Pulse","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","21673","TC03 - Invalid Username","chromium","2026-09-09","failed","2026-09-09","Forgot Password Module","ForgetPassword.spec.js","",""
"","68856","TC_AD_018_Verify_Abdominal_Tenderness_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","43823","TC_63_Verify_BMI_Recalculation_With_Multiple_Changes","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","37812","TC_45_Verify_WHR_Is_Automatically_Generated","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","42879","TC_33_Verify_BMI_Is_Readonly","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","45300","TC_PE_009_Verify_Pinch_Skin_Slow_Option_Recorded","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","21670","TC01 - Valid Username","chromium","2026-09-09","failed","2026-09-09","Forgot Password Module","ForgetPassword.spec.js","",""
"","37690","TC_04_Verify_BMI_Field_Is_ReadOnly","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","47864","TC_AD_009_Verify_Associated_Symptom_Yes_Item_Recorded","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","38968","TC_03_Verify_Visit_Reason_Search","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","40618","TC_PE_005_Verify_Pallor_Normal_Answer_Recorded","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","43614","TC_72_Verify_Height_Decimal_Precision","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","48574","TC_PE_017_Verify_Nail_Anemia_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","105733","TC_AD_030_Verify_End_To_End_Abdominal_Distention_Protocol","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","78570","TC_PE_019_Verify_Nail_Anemia_Pale_Option_Recorded","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","73331","TC_AD_020_Verify_Umbilicus_Shape_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","47648","TC_26_Verify_Respiratory_Rate_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","37686","TC_21_Verify_Weight_Maximum_Length","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","17187","TC_10_Verify_Corresponding_Address_Field","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","50544","TC_PE_020_Verify_Ankle_Oedema_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","17245","TC_03_Verify_Last_Name_Field","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","37792","TC_30_Verify_Vitals_Input_Names","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","21637","TC06 - Invalid Mobile Number","chromium","2026-09-09","failed","2026-09-09","Forgot Password Module","ForgetPassword.spec.js","",""
"","41174","TC_17_Verify_Start_Assessment_Yes_Navigation","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","38132","TC_11_Verify_BMI_Recalculates_When_Weight_Changes","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","41262","TC_AD_005_Verify_Weight_Change_Question","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","77197","TC_PE_027_Verify_Change_Button_Present","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","74706","TC_AD_024_Verify_Summary_Umbilicus_Section","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","39711","TC_16_Verify_Yes_Option_After_Start_Assessment","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","48562","TC_29_Verify_Waist_Circumference_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","17354","TC_15_Verify_Education_Selection","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","49664","TC_AD_011_Verify_Jaundice_History_Auto_Advances","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","44382","TC_PE_037_Verify_Sticky_Footer_Does_Not_Block_Options","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","43382","TC_12_Verify_Hip_Circumference","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42814","TC_57_Verify_BMI_Status_Overweight","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","71040","TC_AD_025b_Verify_Tenderness_Location_SubQuestion_Options","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","37822","TC_19_Verify_HbA1c_Accepts_Decimal","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","50333","TC_AD_012_Verify_Treatment_History_Question","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","75945","TC_PE_026_Verify_All_Summary_Fields_Correct","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","66569","TC_AD_017_Verify_Abdominal_Bloating_Question_Displays","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
"","17201","TC_02_Verify_First_Name_Field","chromium","2026-09-09","passed","2026-09-09","Patient Creation Module","PatientCreation.spec.js","",""
"","39816","TC_06_Verify_Start_Assessment_Button","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","47492","TC_19_Verify_Other_Visit_Reason","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","73738","MH_009_Verify_Medical_History_Summary_Heading_Displayed","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","48646","TC_32_Verify_HbA1c_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","39157","TC_08_Verify_BMI_Overweight_Category","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","42698","TC_46_Verify_BMI_Status","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","37841","TC_06_Verify_BMI_Normal_Category","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","39935","TC_15_Verify_Start_Assessment_Opens_Assessment","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
