"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38916","TC_43_Verify_Blood_Group_Options","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37724","TC_66_Verify_BP_Diastolic_Can_Be_Entered_And_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","42320","TC_27_Verify_BMI_After_Clearing_Height","chromium","2026-08-14","failed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","31330","TC_20_Verify_Height_Maximum_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","39086","TC_65_Verify_BP_Systolic_Can_Be_Entered_And_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37348","TC_33_Verify_BMI_Is_Readonly","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","5657","API - Valid Login","chromium","2026-08-14","passed","2026-08-14","Login Module","Loginpage.spec.js","",""
"","37990","TC_50_Verify_Weight_Max_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37993","TC_09_Verify_FBS","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","40059","TC_04_Verify_Blood_Pressure","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","41688","TC_23_Verify_Height_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","38141","TC_70_Verify_Blood_Group_Selection_Can_Be_Changed","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32531","TC_31_Verify_BP_Fields_Can_Remain_Empty","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","12248","TC_06_Verify_Emergency_Contact_Fields","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","38517","TC_52_Verify_Respiratory_Rate_Max_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","38616","TC_51_Verify_Pulse_Max_Length","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","12815","TC_10_Verify_Corresponding_Address_Field","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
